TEXT	LAMBDAS	CROSS ENTROPY
original	[0.23506947 0.48687213 0.2419028  0.0361556 ]	13.952273848872249
add_0.1	[0.21156252 0.43818492 0.21771252 0.13254004]	13.89344723277582
add_0.2	[0.18805558 0.38949771 0.19352224 0.22892448]	13.859871043587354
add_0.3	[0.16454863 0.34081049 0.16933196 0.32530892]	13.836384729602697
add_0.4	[0.14104168 0.29212328 0.14514168 0.42169336]	13.818877644522768
add_0.5	[0.11753474 0.24343607 0.1209514  0.5180778 ]	13.80564806655019
add_0.6	[0.09402779 0.19474885 0.09676112 0.61446224]	13.7959834251804
add_0.7	[0.07052084 0.14606164 0.07257084 0.71084668]	13.789846338774282
add_0.8	[0.04701389 0.09737443 0.04838056 0.80723112]	13.788137525621421
add_0.9	[0.02350695 0.04868721 0.02419028 0.90361556]	13.794699060203902
add_0.95	[0.01175347 0.02434361 0.01209514 0.95180778]	13.806696537815956
add_0.99	[0.00235069 0.00486872 0.00241903 0.99036156]	13.840732909750866
discount_0.9	[0.23595126 0.48869848 0.24281022 0.03254004]	13.955749941574684
discount_0.8	[0.23683305 0.49052483 0.24371764 0.02892448]	13.959428235893148
discount_0.7	[0.23771484 0.49235118 0.24462507 0.02530892]	13.963342519919303
discount_0.6	[0.23859663 0.49417752 0.24553249 0.02169336]	13.967537667819542
discount_0.5	[0.23947842 0.49600387 0.24643991 0.0180778 ]	13.97207573509325
discount_0.4	[0.24036021 0.49783022 0.24734733 0.01446224]	13.977047339289056
discount_0.3	[0.241242   0.49965657 0.24825476 0.01084668]	13.982595490703737
discount_0.2	[0.24212379 0.50148292 0.24916218 0.00723112]	13.988974858347847
discount_0.1	[0.24300558 0.50330926 0.2500696  0.00361556]	13.99675063885305
discount_0	[0.24388737 0.50513561 0.25097702 0.        ]	14.008594349372656
