TEXT	LAMBDAS	CROSS ENTROPY
original	[0.09445099 0.31108462 0.51731739 0.07714701]	11.078095807338762
add_0.1	[0.08500589 0.27997615 0.46558565 0.16943231]	11.031462441617203
add_0.2	[0.07556079 0.24886769 0.41385391 0.26171761]	10.999341569445669
add_0.3	[0.06611569 0.21775923 0.36212217 0.35400291]	10.975104404950816
add_0.4	[0.05667059 0.18665077 0.31039043 0.44628821]	10.956379602344041
add_0.5	[0.04722549 0.15554231 0.25865869 0.5385735 ]	10.942171232740018
add_0.6	[0.03778039 0.12443385 0.20692696 0.6308588 ]	10.932245649957768
add_0.7	[0.0283353  0.09332538 0.15519522 0.7231441 ]	10.92713175161959
add_0.8	[0.0188902  0.06221692 0.10346348 0.8154294 ]	10.928811587219142
add_0.9	[0.0094451  0.03110846 0.05173174 0.9077147 ]	10.944449540691197
add_0.95	[0.00472255 0.01555423 0.02586587 0.95385735]	10.967776003900932
add_0.99	[9.44509874e-04 3.11084615e-03 5.17317389e-03 9.90771470e-01]	11.031498471177432
discount_0.9	[0.09524056 0.31368516 0.52164197 0.06943231]	11.083211860761649
discount_0.8	[0.09603014 0.31628571 0.52596654 0.06171761]	11.08863656012128
discount_0.7	[0.09681971 0.31888626 0.53029112 0.05400291]	11.094423628172853
discount_0.6	[0.09760929 0.32148681 0.5346157  0.04628821]	11.100645490695792
discount_0.5	[0.09839886 0.32408736 0.53894027 0.0385735 ]	11.107404116085338
discount_0.4	[0.09918843 0.32668791 0.54326485 0.0308588 ]	11.11485170987124
discount_0.3	[0.09997801 0.32928846 0.54758943 0.0231441 ]	11.12323526655255
discount_0.2	[0.10076758 0.33188901 0.55191401 0.0154294 ]	11.133011677455203
discount_0.1	[0.10155716 0.33448956 0.55623858 0.0077147 ]	11.14525967745605
discount_0	[0.10234673 0.33709011 0.56056316 0.        ]	11.166248356182022
