TEXT	LAMBDAS	CROSS ENTROPY
original	[1.71741038e-42 1.11007242e-21 3.52413671e-06 9.99996476e-01]	27.542314592771895
add_0.1	[1.54566934e-42 9.99065177e-22 3.17172304e-06 9.99996828e-01]	27.57997780040346
add_0.2	[1.37392830e-42 8.88057935e-22 2.81930937e-06 9.99997181e-01]	27.62203419210496
add_0.3	[1.20218726e-42 7.77050694e-22 2.46689570e-06 9.99997533e-01]	27.669659250175698
add_0.4	[1.03044623e-42 6.66043452e-22 2.11448203e-06 9.99997886e-01]	27.72457453285639
add_0.5	[8.58705189e-43 5.55036210e-22 1.76206835e-06 9.99998238e-01]	27.789449011871735
add_0.6	[6.86964151e-43 4.44028968e-22 1.40965468e-06 9.99998590e-01]	27.86875396085744
add_0.7	[5.15223113e-43 3.33021726e-22 1.05724101e-06 9.99998943e-01]	27.970871446648136
add_0.8	[3.43482076e-43 2.22014484e-22 7.04827342e-07 9.99999295e-01]	28.114619465259516
add_0.9	[1.71741038e-43 1.11007242e-22 3.52413671e-07 9.99999648e-01]	28.3600446323389
add_0.95	[8.58705189e-44 5.55036210e-23 1.76206836e-07 9.99999824e-01]	28.605246158988475
add_0.99	[1.71741038e-44 1.11007242e-23 3.52413672e-08 9.99999965e-01]	29.17424305854801
discount_0.9	[4.87343424e-38 3.15001295e-17 1.00003172e-01 8.99996828e-01]	22.916435917951276
discount_0.8	[9.74669673e-38 6.29991490e-17 2.00002819e-01 7.99997181e-01]	22.583231614978008
discount_0.7	[1.46199592e-37 9.44981684e-17 3.00002467e-01 6.99997533e-01]	22.42045175586078
discount_0.6	[1.94932217e-37 1.25997188e-16 4.00002114e-01 5.99997886e-01]	22.33532635991355
discount_0.5	[2.43664842e-37 1.57496207e-16 5.00001762e-01 4.99998238e-01]	22.30137812511267
discount_0.4	[2.92397467e-37 1.88995227e-16 6.00001410e-01 3.99998590e-01]	22.31119574058178
discount_0.3	[3.41130092e-37 2.20494246e-16 7.00001057e-01 2.99998943e-01]	22.368851741394735
discount_0.2	[3.89862717e-37 2.51993266e-16 8.00000705e-01 1.99999295e-01]	22.495030023562805
discount_0.1	[4.38595342e-37 2.83492285e-16 9.00000352e-01 9.99996476e-02]	22.765058667208105
discount_0	[4.87327967e-37 3.14991305e-16 1.00000000e+00 0.00000000e+00]	40.572941400741264
