TEXT	LAMBDAS	CROSS ENTROPY
original	[0.07008314 0.25399635 0.4922675  0.18365301]	7.467735831305344
add_0.1	[0.06307483 0.22859671 0.44304075 0.26528771]	7.469313300772711
add_0.2	[0.05606651 0.20319708 0.393814   0.34692241]	7.496203550797665
add_0.3	[0.0490582  0.17779744 0.34458725 0.42855711]	7.545973664536572
add_0.4	[0.04204988 0.15239781 0.2953605  0.51019181]	7.619673702403029
add_0.5	[0.03504157 0.12699817 0.24613375 0.59182651]	7.721506132506905
add_0.6	[0.02803326 0.10159854 0.196907   0.6734612 ]	7.860194072787446
add_0.7	[0.02102494 0.0761989  0.14768025 0.7550959 ]	8.0532902139674
add_0.8	[0.01401663 0.05079927 0.0984535  0.8367306 ]	8.340943954444752
add_0.9	[0.00700831 0.02539963 0.04922675 0.9183653 ]	8.850119376999203
add_0.95	[0.00350416 0.01269982 0.02461338 0.95918265]	9.361401038043034
add_0.99	[7.00831395e-04 2.53996348e-03 4.92267500e-03 9.91836530e-01]	10.500303211870031
discount_0.9	[0.0716598  0.25971049 0.50334201 0.16528771]	7.471578703144819
discount_0.8	[0.07323645 0.26542462 0.51441652 0.14692241]	7.477290078541972
discount_0.7	[0.07481311 0.27113876 0.52549102 0.12855711]	7.485116494206978
discount_0.6	[0.07638976 0.2768529  0.53656553 0.11019181]	7.495394978236789
discount_0.5	[0.07796642 0.28256704 0.54764004 0.09182651]	7.508603924856114
discount_0.4	[0.07954307 0.28828118 0.55871455 0.0734612 ]	7.525460177656924
discount_0.3	[0.08111973 0.29399531 0.56978905 0.0550959 ]	7.547128785033063
discount_0.2	[0.08269638 0.29970945 0.58086356 0.0367306 ]	7.575771181471396
discount_0.1	[0.08427304 0.30542359 0.59193807 0.0183653 ]	7.616562068698811
discount_0	[0.08584969 0.31113773 0.60301258 0.        ]	7.703468103236664
