TEXT	LAMBDAS	CROSS ENTROPY
original	[2.29513014e-24 1.31303862e-13 4.96697911e-06 9.99995033e-01]	18.892316294089795
add_0.1	[2.06561712e-24 1.18173476e-13 4.47028120e-06 9.99995530e-01]	18.945718687709096
add_0.2	[1.83610411e-24 1.05043089e-13 3.97358328e-06 9.99996026e-01]	19.005399693126293
add_0.3	[1.60659110e-24 9.19127032e-14 3.47688537e-06 9.99996523e-01]	19.073040182227253
add_0.4	[1.37707808e-24 7.87823170e-14 2.98018746e-06 9.99997020e-01]	19.151101913436758
add_0.5	[1.14756507e-24 6.56519308e-14 2.48348955e-06 9.99997517e-01]	19.24340144427859
add_0.6	[9.18052054e-25 5.25215447e-14 1.98679164e-06 9.99998013e-01]	19.356332621740197
add_0.7	[6.88539041e-25 3.93911585e-14 1.49009373e-06 9.99998510e-01]	19.501881724762697
add_0.8	[4.59026027e-25 2.62607723e-14 9.93395821e-07 9.99999007e-01]	19.70695840852838
add_0.9	[2.29513014e-25 1.31303862e-14 4.96697911e-07 9.99999503e-01]	20.057429251749962
add_0.95	[1.14756507e-25 6.56519308e-15 2.48348955e-07 9.99999752e-01]	20.407822274818507
add_0.99	[2.29513013e-26 1.31303861e-15 4.96697910e-08 9.99999950e-01]	21.221290942929336
discount_0.9	[4.62098315e-20 2.64365372e-09 1.00004468e-01 8.99995530e-01]	13.094346093058853
discount_0.8	[9.24173678e-20 5.28717613e-09 2.00003968e-01 7.99996026e-01]	12.65272304340186
